STATION,SHIFT,COMB_SCORE,SCHOOLS,BUSINESS,TRAFFIC
BROOKLYN BRIDGE,TU0,0.300975,1,1,1039.0
RECTOR ST,WE20,0.743025,1,14,5721.0
CORTLANDT ST,SA16,0.76478125,1,10,10591.25
ROOSEVELT ISLND,TH8,1.503825,5,0,10153.0
CLARK ST,TH16,0.67595,2,0,7038.0
CARROLL ST,FR16,0.54245,1,0,11698.0
NOSTRAND AV,MO8,0.8922,1,0,25688.0
42 ST-PORT AUTH,WE20,2.963375,6,6,52535.0
ROCKAWAY AV,FR20,0.0783261847527,0,0,3133.04739011
FRESH POND RD,WE8,0.1725875,0,0,6903.5
WHITEHALL S-FRY,SA12,0.47243125,0,6,12897.25
25 AV,SU4,0.05405,0,0,2162.0
23 ST,TU12,5.3755625,8,31,104022.5
137 ST CITY COL,TH8,0.85519375,2,0,14207.75
SUTTER AV-RUTLD,WE16,0.148375,0,0,5935.0
BAY RIDGE AV,MO12,0.18325,0,0,7330.0
LAFAYETTE AV,SA8,0.818475,3,0,2739.0
183 ST,TU0,0.7602,3,0,408.0
FORDHAM RD,SA4,1.22855,4,0,9142.0
8 ST-NYU,MO4,1.2123,4,6,2492.0
36 ST,WE8,0.363875416262,0,0,14555.0166505
7 AV,TU16,1.162975,0,0,46519.0
81 ST-MUSEUM,SA8,0.60251875,2,1,3100.75
AVENUE P,FR16,0.0384,0,0,1536.0
BUHRE AV,TH4,0.15503125,0,0,6201.25
TIMES SQ-42 ST,TH4,2.1616,6,6,20464.0
21 ST,TH0,0.76115625,3,0,446.25
61 ST WOODSIDE,SA20,0.1347125,0,0,5388.5
138/GRAND CONC,WE16,0.351325,1,0,4053.0
CARROLL ST,SA16,0.35225,1,0,4090.0
BAY 50 ST,MO20,0.01446875,0,0,578.75
BEVERLY RD,TH12,0.080825,0,0,3233.0
INWOOD-207 ST,SA8,0.44646875,1,0,7858.75
40 ST LOWERY ST,WE16,0.531675,1,1,10267.0
ASTORIA DITMARS,MO0,0.014725,0,0,589.0
170 ST,SA0,0.0321125,0,0,1284.5
ROCKAWAY AV,FR0,0.0275946600275,0,0,1103.7864011
57 ST,SU8,0.8286125,3,0,3144.5
BEACH 105 ST,SA4,0.00165625,0,0,66.25
215 ST,TU4,0.531075,2,0,1243.0
AVENUE M,TU20,0.030725,0,0,1229.0
MONTROSE AV,WE8,0.265,0,0,10600.0
FT HAMILTON PKY,TH8,0.316470982143,0,0,12658.8392857
BEACH 36 ST,SA12,0.017025,0,0,681.0
1 AV,SA8,1.275975,4,0,11039.0
BROAD ST,TH12,0.79843125,1,14,7937.25
AVENUE P,TH12,0.04085,0,0,1634.0
WINTHROP ST,TH16,0.4117,1,0,6468.0
CHRISTOPHER ST,FR0,0.62927056713,2,2,3170.82268519
MIDDLETOWN RD,TU20,0.0095375,0,0,381.5
183 ST,SU12,0.846975,3,0,3879.0
ASTOR PL,SA16,1.38424375,4,5,10369.75
CATHEDRAL PKWY,SU4,0.55599375,2,0,2239.75
VERNON-JACKSON,SA16,0.7859875,2,1,10439.5
34 ST-HERALD SQ,WE12,4.446425,7,12,95857.0
CITY HALL,WE0,0.278925,1,1,157.0
66 ST-LINCOLN,FR8,1.0937375,3,0,13749.5
GRD CNTRL-42 ST,SU12,3.31755625,7,9,53702.25
PARKSIDE AV,SU4,0.27778125,1,0,1111.25
ELMHURST AV,MO4,0.3017,0,0,12068.0
39 AV,TU8,0.598075,2,0,3923.0
BLEECKER ST,MO0,0.591225,1,12,1649.0
121 ST,SA12,0.0384,0,0,1536.0
155 ST,FR4,0.42388125,1,0,6955.25
E 143/ST MARY'S,SA8,0.01116875,0,0,446.75
BEDFORD AV,TH12,0.734125,1,0,19365.0
LIVONIA AV,TU20,0.026775,0,0,1071.0
CHAUNCEY ST,MO12,0.06876875,0,0,2750.75
181 ST,FR16,0.46508125,0,0,18603.25
GRANT AV,SA8,0.088710434542,0,0,3548.41738168
JACKSON AV,MO4,0.1298,0,0,5192.0
BURKE AV,TU8,0.094175,0,0,3767.0
CITY HALL,TU12,0.463875,1,1,7555.0
116 ST,TH4,1.227575,2,0,29103.0
21 ST,MO8,0.7660875,3,0,643.5
BROOK AV,SA20,0.29615625,1,0,1846.25
MYRTLE-WILLOUGH,SA20,0.54381875,2,0,1752.75
VAN SICLEN AV,TU20,0.05734375,0,0,2293.75
KEW GARDENS,FR16,0.42400625,0,0,16960.25
BRIGHTON BEACH,WE0,0.01,0,0,400.0
OCEAN PKWY,WE12,0.081725,0,0,3269.0
155 ST,TU20,0.2997375,1,0,1989.5
34 ST-HUDSON YD,SU20,2.1302,7,12,3208.0
MIDDLETOWN RD,TU16,0.0251375,0,0,1005.5
163 ST-AMSTERDM,SU0,0.011,0,0,440.0
